AcceptedNameGBIF;OriginalNameDB;ID_GBIF;Kingdom;Order;Family;Phylum;Class;EstablishmentMeans;Pathways;FunctionalGroup;Group;NativeCountry;InvadedCountry;InvadedCountryISO3;AffectedNativeSpecies;EICATImpact;Mechanisms;EICAT_by_Mechanism;Habitat;FirstRecords;OldestDate;Source_Data
Lemna perpusilla;Lemna perpusilla;2867627;Plantae;alismatales;Araceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lepomis cyanellus;Lepomis cyanellus;2394494;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lepomis gibbosus;Lepomis gibbosus;2394486;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lepomis gulosus;Lepomis gulosus;2394507;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lepomis macrochirus;Lepomis macrochirus;2394503;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Lepomis microlophus;Lepomis microlophus;2394501;Metazoa;perciformes;Centrarchidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Leptochloa nealleyi;Leptochloa nealleyi;2703875;Plantae;poales;Poaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Leucaspius delineatus;Leucaspius delineatus;2362881;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Leuciscus leuciscus;Leuciscus leuciscus;4409641;Metazoa;cypriniformes;Cyprinidae;chordata;osteichthyes;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ligustrum sinense;Ligustrum sinense;3172294;Plantae;lamiales;Oleaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Hydrocharis laevigata;Limnobium laevigatum;11055820;Plantae;alismatales;Hydrocharitaceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Limnocharis flava;Limnocharis flava;5328736;Plantae;alismatales;Alismataceae;spermatophyta;monocotyledonae;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Limnomysis benedeni;Limnomysis benedeni;2220347;Metazoa;mysidacea;Mysidae;arthropoda;malacostraca;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Limnoperna fortunei;Limnoperna fortunei;5855350;Metazoa;NA;Mytilidae;mollusca;bivalvia;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Limnophila sessiliflora;Limnophila sessiliflora;5415001;Plantae;lamiales;Plantaginaceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ludwigia grandiflora;Ludwigia grandiflora;5421039;Plantae;myrtales;Onagraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ludwigia palustris;Ludwigia palustris;5421025;Plantae;myrtales;Onagraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
Ludwigia peploides;Ludwigia peploides;5420991;Plantae;myrtales;Onagraceae;spermatophyta;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;freshwater;NA;NA;CABI 2025
